symbol,name,price(usd),supply,maxSupply
BTC,Bitcoin,61322.0457382169523191,19743996.0000000000000000,21000000.0000000000000000
ETH,Ethereum,2661.1002653821462152,120296142.0774667300000000,
USDT,Tether,1.0001296060918211,117676046786.1143300000000000,
BNB,BNB,580.2986429124930623,166801148.0000000000000000,166801148.0000000000000000
SOL,Solana,144.3314434604635004,465929796.0646474000000000,
USDC,USDC,0.9998950468126550,34515572793.1445500000000000,
XRP,XRP,0.5994551889251160,45404028640.0000000000000000,100000000000.0000000000000000
DOGE,Dogecoin,0.1083116811261443,145653086383.7052300000000000,
TRX,TRON,0.1579661737776129,86874204015.8757600000000000,
ADA,Cardano,0.3810619759975964,35952005688.6970000000000000,45000000000.0000000000000000
AVAX,Avalanche,26.2532433975835792,404787402.1687674000000000,715748719.0000000000000000
WBTC,Wrapped Bitcoin,61258.5230537311192526,153634.4944702200000000,
SHIB,Shiba Inu,0.0000145416959110,589270313394595.0000000000000000,
LINK,Chainlink,11.6560799799695663,608099970.4527867000000000,
BCH,Bitcoin Cash,352.8830807056375214,19750793.7500000000000000,21000000.0000000000000000
DOT,Polkadot,4.7609556090641371,1403508481.2060100000000000,
DAI,Multi Collateral DAI,1.0014308131927674,5365382702.6648720000000000,
MATIC,Polygon,0.5290663263781744,9963722946.1595480000000000,
NEAR,NEAR Protocol,4.6639360410740455,1118384705.0000000000000000,
LTC,Litecoin,64.4303048266653271,74894281.1066697000000000,84000000.0000000000000000
UNI,Uniswap,6.8635928706838781,600109614.7100000000000000,
ICP,Internet Computer,8.5951509400287019,469209842.7636558000000000,
XMR,Monero,168.8305581912844932,18446744.0737095500000000,
ETC,Ethereum Classic,20.0527060872651530,148445191.5142219400000000,210700000.0000000000000000
XLM,Stellar,0.0999235942943598,29481194136.6262320000000000,50001806812.0000000000000000
FET,Artificial Superintelligence Alliance,1.0999462804552619,2520000000.0000000000000000,2630547141.0000000000000000
STX,Stacks,1.7051971526732557,1483031039.8624030000000000,1818000000.0000000000000000
FIL,Filecoin,4.1475327557402602,580911741.0000000000000000,
OKB,OKB,38.2449573179220792,60000000.0000000000000000,
CRO,Crypto.com Coin,0.0878621087344586,25263013692.0000000000000000,30263013692.0000000000000000
VET,VeChain,0.0251272759723690,80985041177.0000000000000000,86712634466.0000000000000000
AAVE,Aave,136.1875548746704838,14913882.8355669300000000,
MKR,Maker,2093.6213697195357991,930365.9232952400000000,1005577.0000000000000000
AR,Arweave,24.9926620402105953,65652466.0000000000000000,66000000.0000000000000000
GRT,The Graph,0.1662448631816722,9548531509.1654740000000000,
INJ,Injective,21.0619244864777426,73005554.3300000000000000,100000000.0000000000000000
RUNE,THORChain,4.3329177845107712,334987194.0000000000000000,
FTM,Fantom,0.4972563324436120,2803634835.5265927000000000,
THETA,THETA,1.3608714899870445,1000000000.0000000000000000,1000000000.0000000000000000
ATOM,Cosmos,4.9084936848636305,248453201.0000000000000000,
ALGO,Algorand,0.1412026742997125,8227304273.3253590000000000,10000000000.0000000000000000
HNT,Helium,6.7141202340820252,160875441.8242133300000000,
LDO,Lido DAO,1.1933320767670227,894410102.3029649000000000,
KCS,KuCoin Token,8.4514820997401310,117971705.2884767500000000,170118638.0000000000000000
FLOW,Flow,0.5901407082114881,1527463583.1713634000000000,
BSV,Bitcoin SV,45.3578602938831516,19746628.1250000000000000,
HBAR,Hedera Hashgraph,0.0581812108786323,14832756028.0000000000000000,50000000000.0000000000000000
QNT,Quant,68.9582943271457442,12072738.0000000000000000,14881364.0000000000000000
EOS,EOS,0.5377624158608932,1505370878.3773000000000000,2100000000.0000000000000000
AXS,Axie Infinity,5.1904308916087008,148863457.6549114000000000,
NEO,Neo,10.8016949701204874,70538831.0000000000000000,100000000.0000000000000000
GT,GateToken,7.8544717884190562,93258374.7267789700000000,
XTZ,Tezos,0.7167854658598559,996001362.2203750000000000,
GALA,Gala,0.0207247933487270,34074192550.3745840000000000,
EGLD,MultiversX,29.1085316869339283,24184559.1898415400000000,31415926.0000000000000000
